iter	Passed	Remaining
408	5434	1209
409	5446	1195
410	5457	1181
411	5468	1168
412	5482	1154
413	5499	1142
414	5515	1129
415	5526	1115
416	5540	1102
417	5556	1089
418	5570	1076
419	5582	1063
420	5593	1049
421	5604	1035
422	5616	1022
423	5633	1009
424	5648	996
425	5663	983
426	5677	970
427	5689	957
428	5701	943
429	5716	930
430	5730	917
431	5747	904
432	5762	891
433	5776	878
434	5790	865
435	5806	852
436	5821	839
437	5838	826
438	5850	812
439	5865	799
440	5880	786
441	5894	773
442	5910	760
443	5926	747
444	5940	734
445	5954	720
446	5969	707
447	5983	694
448	5996	681
449	6011	667
450	6026	654
451	6039	641
452	6052	628
453	6066	614
454	6079	601
455	6094	588
456	6109	574
457	6123	561
458	6139	548
459	6154	535
460	6166	521
461	6180	508
462	6193	494
463	6207	481
464	6222	468
465	6236	454
466	6251	441
467	6264	428
468	6279	415
469	6291	401
470	6303	388
471	6318	374
472	6329	361
473	6341	347
474	6352	334
475	6367	321
476	6378	307
477	6392	294
478	6407	280
479	6420	267
480	6432	254
481	6446	240
482	6460	227
483	6475	214
484	6489	200
485	6500	187
486	6513	173
487	6525	160
488	6538	147
489	6553	133
490	6564	120
491	6577	106
492	6592	93
493	6607	80
494	6623	66
495	6636	53
496	6651	40
497	6665	26
498	6680	13
499	6696	0
